PO ID;PO Date;Month;SKU;Purchase Multiple (units);Quantity Purchased (units);Unit Cost EUR;Total Cost EUR;Production Site;Destination DC;Goods Receipt Date
PO-202506-00408;01/06/2025 00:00;2025-06;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/06/2025 00:00
PO-202507-00409;01/07/2025 00:00;2025-07;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/07/2025 00:00
PO-202507-00410;01/07/2025 00:00;2025-07;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/07/2025 00:00
PO-202507-00411;01/07/2025 00:00;2025-07;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/07/2025 00:00
PO-202507-00412;01/07/2025 00:00;2025-07;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/07/2025 00:00
PO-202507-00413;01/07/2025 00:00;2025-07;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/07/2025 00:00
PO-202507-00414;01/07/2025 00:00;2025-07;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/07/2025 00:00
PO-202507-00415;01/07/2025 00:00;2025-07;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/07/2025 00:00
PO-202507-00416;01/07/2025 00:00;2025-07;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/07/2025 00:00
PO-202507-00417;01/07/2025 00:00;2025-07;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/07/2025 00:00
PO-202507-00418;01/07/2025 00:00;2025-07;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/07/2025 00:00
PO-202507-00419;01/07/2025 00:00;2025-07;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/07/2025 00:00
PO-202507-00420;01/07/2025 00:00;2025-07;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/07/2025 00:00
PO-202507-00421;01/07/2025 00:00;2025-07;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/07/2025 00:00
PO-202507-00422;01/07/2025 00:00;2025-07;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/07/2025 00:00
PO-202507-00423;01/07/2025 00:00;2025-07;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/07/2025 00:00
PO-202507-00424;01/07/2025 00:00;2025-07;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/07/2025 00:00
PO-202507-00425;01/07/2025 00:00;2025-07;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/07/2025 00:00
PO-202508-00426;01/08/2025 00:00;2025-08;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/08/2025 00:00
PO-202508-00427;01/08/2025 00:00;2025-08;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/08/2025 00:00
PO-202508-00428;01/08/2025 00:00;2025-08;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/08/2025 00:00
PO-202508-00429;01/08/2025 00:00;2025-08;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/08/2025 00:00
PO-202508-00430;01/08/2025 00:00;2025-08;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/08/2025 00:00
PO-202508-00431;01/08/2025 00:00;2025-08;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/08/2025 00:00
PO-202508-00432;01/08/2025 00:00;2025-08;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/08/2025 00:00
PO-202508-00433;01/08/2025 00:00;2025-08;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/08/2025 00:00
PO-202508-00434;01/08/2025 00:00;2025-08;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/08/2025 00:00
PO-202508-00435;01/08/2025 00:00;2025-08;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/08/2025 00:00
PO-202508-00436;01/08/2025 00:00;2025-08;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/08/2025 00:00
PO-202508-00437;01/08/2025 00:00;2025-08;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;16/08/2025 00:00
PO-202508-00438;01/08/2025 00:00;2025-08;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/08/2025 00:00
PO-202508-00439;01/08/2025 00:00;2025-08;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/08/2025 00:00
PO-202508-00440;01/08/2025 00:00;2025-08;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;20/08/2025 00:00
PO-202508-00441;01/08/2025 00:00;2025-08;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/08/2025 00:00
PO-202508-00442;01/08/2025 00:00;2025-08;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/08/2025 00:00
PO-202509-00443;01/09/2025 00:00;2025-09;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/09/2025 00:00
PO-202509-00444;01/09/2025 00:00;2025-09;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/09/2025 00:00
PO-202509-00445;01/09/2025 00:00;2025-09;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/09/2025 00:00
PO-202509-00446;01/09/2025 00:00;2025-09;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/09/2025 00:00
PO-202509-00447;01/09/2025 00:00;2025-09;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/09/2025 00:00
PO-202509-00448;01/09/2025 00:00;2025-09;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/09/2025 00:00
PO-202509-00449;01/09/2025 00:00;2025-09;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/09/2025 00:00
PO-202509-00450;01/09/2025 00:00;2025-09;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/09/2025 00:00
PO-202509-00451;01/09/2025 00:00;2025-09;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/09/2025 00:00
PO-202509-00452;01/09/2025 00:00;2025-09;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/09/2025 00:00
PO-202509-00453;01/09/2025 00:00;2025-09;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/09/2025 00:00
PO-202509-00454;01/09/2025 00:00;2025-09;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/09/2025 00:00
PO-202509-00455;01/09/2025 00:00;2025-09;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;21/09/2025 00:00
PO-202509-00456;01/09/2025 00:00;2025-09;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/09/2025 00:00
PO-202509-00457;01/09/2025 00:00;2025-09;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/09/2025 00:00
PO-202509-00458;01/09/2025 00:00;2025-09;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/09/2025 00:00
PO-202509-00459;01/09/2025 00:00;2025-09;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/09/2025 00:00
