From DC;To Country;Channel;Max Pallet Weight kg;Fixed Cost per Pallet EUR;Variable Cost EUR per kg;Last-mile Share %;Linehaul Share %;Formula (Pallets);Formula (Total Transport Cost);Formula (Last-mile Cost);Formula (Linehaul Cost);Linehaul Leg;Last-mile Leg
BE-DC2;HU;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IE;E-commerce;200;58,24;0,0735;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IE;Pharmacy;200;55,12;0,0721;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IE;Retail;200;52;0,07;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IE;Retail Sport;200;50,96;0,0693;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IT;E-commerce;200;120,96;0,105;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IT;Pharmacy;200;114,48;0,103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IT;Retail;200;108;0,1;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;IT;Retail Sport;200;105,84;0,099;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LT;E-commerce;200;114,24;0,1103;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LT;Pharmacy;200;108,12;0,1081;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LT;Retail;200;102;0,105;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LT;Retail Sport;200;99,96;0,104;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LU;E-commerce;200;58,24;0,0735;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LU;Pharmacy;200;55,12;0,0721;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LU;Retail;200;52;0,07;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LU;Retail Sport;200;50,96;0,0693;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LV;E-commerce;200;114,24;0,1103;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LV;Pharmacy;200;108,12;0,1081;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LV;Retail;200;102;0,105;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;LV;Retail Sport;200;99,96;0,104;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;MT;E-commerce;200;163,3;0,126;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;MT;Pharmacy;200;154,55;0,1236;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;MT;Retail;200;145,8;0,12;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;MT;Retail Sport;200;142,88;0,1188;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;NL;E-commerce;200;58,24;0,0735;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;NL;Pharmacy;200;55,12;0,0721;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;NL;Retail;200;52;0,07;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;NL;Retail Sport;200;50,96;0,0693;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PL;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PL;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PL;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PL;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PT;E-commerce;200;120,96;0,105;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PT;Pharmacy;200;114,48;0,103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PT;Retail;200;108;0,1;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;PT;Retail Sport;200;105,84;0,099;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;RO;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;RO;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;RO;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;RO;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SE;E-commerce;200;103,04;0,0998;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SE;Pharmacy;200;97,52;0,0979;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SE;Retail;200;92;0,095;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SE;Retail Sport;200;90,16;0,094;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SI;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SI;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SI;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SI;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SK;E-commerce;200;87,36;0,0893;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SK;Pharmacy;200;82,68;0,0876;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SK;Retail;200;78;0,085;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC2;SK;Retail Sport;200;76,44;0,0842;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;AT;E-commerce;200;59,4;0,075;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;AT;Pharmacy;200;56,22;0,0735;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;AT;Retail;200;53,04;0,0714;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;AT;Retail Sport;200;51,98;0,0707;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BE;E-commerce;200;44,55;0,06;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BE;Pharmacy;200;42,17;0,0588;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BE;Retail;200;39,78;0,0571;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BE;Retail Sport;200;38,98;0,0565;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BG;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BG;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BG;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;BG;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CY;E-commerce;200;166,56;0,1285;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CY;Pharmacy;200;157,64;0,1261;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CY;Retail;200;148,72;0,1224;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CY;Retail Sport;200;145,74;0,1212;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CZ;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CZ;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CZ;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;CZ;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DE;E-commerce;200;59,4;0,075;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DE;Pharmacy;200;56,22;0,0735;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DE;Retail;200;53,04;0,0714;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DE;Retail Sport;200;51,98;0,0707;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DK;E-commerce;200;105,1;0,1017;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DK;Pharmacy;200;99,47;0,0998;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DK;Retail;200;93,84;0,0969;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;DK;Retail Sport;200;91,96;0,0959;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;EE;E-commerce;200;116,52;0,1125;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
